id,total_eye_movement,time(min)
11508022,6,1
id,total_eye_movement,time(min)
11508022,2,2
id,total_eye_movement,time(min)
11508022,0,1
id,total_eye_movement,time(min)
11508022,7,2
id,total_eye_movement,time(min)
11508022,24,3
id,total_eye_movement,time(min)
11508022,24,4
id,total_eye_movement,time(min)
11508022,4,1
id,total_eye_movement,time(min)
11508022,22,2
id,total_eye_movement,time(min)
11508022,30,1
id,total_eye_movement,time(min)
11508022,6,1
id,total_eye_movement,time(min)
11508022,4,2
id,total_eye_movement,time(min)
11508022,0,1
id,total_eye_movement,time(min)
11508022,2,1
id,total_eye_movement,time(min)
11508022,4,1
id,total_eye_movement,time(min)
11508022,15,2
id,total_eye_movement,time(min)
11508022,0,1
id,total_eye_movement,time(min)
11508022,23,1
id,total_eye_movement,time(min)
11508022,14,1
id,total_eye_movement,time(min)
11508022,8,1
